Nome, Rendimento Bruto, Rendimento Liquido, Imposto de Renda, Valor Total
LCI Banco Inter Pré-Fixado 13,9%, 1225,99, 1225,99, 0,00, 11325,99
LCA Banco ABC IPCA + 6,18%, 1009,72, 1009,72, 0,00, 11109,72
LCI BTG Pactual Pós-fixado 99,00% CDI, 954,20, 954,20, 0,00, 11054,20
LCA BTG Pactual Pré-fixado 12,60%, 1105,89, 1105,89, 0,00, 11205,89
LCA Banco do Brasil Pré-Fixado 13,43%, 1182,44, 1182,44, 0,00, 11282,44
LCA Banco do Brasil Pré-Fixado 13,41%, 1180,59, 1180,59, 0,00, 11280,59
LCA Banco ABC Pré-Fixado 13,16%, 1157,48, 1157,48, 0,00, 11257,48
LCA Banco do Brasil Pré-Fixado 12,75%, 1119,69, 1119,69, 0,00, 11219,69
CDB BTG Pactual Pré-fixado 14,92%, 1321,04, 1056,83, 264,21, 11156,83
CDB Sofisa Direto Pré-Fixado 14,60%, 1291,14, 1032,91, 258,23, 11132,91
CDB Daycoval Pré-fixado 14,84%, 1313,56, 1050,85, 262,71, 11150,85
CDB Banco C6 Consignado Pré-fixado 15,50%, 1375,41, 1100,33, 275,08, 11200,33
CRI Oncoclínicas IPCA + 9,10%, 1291,14, 1032,91, 258,23, 11132,91
CRI MRV IPCA + 8,30%, 1214,86, 971,89, 242,97, 11071,89
Tesouro Direto Pré-Fixado 2032, 1301,41, 1041,13, 260,28, 11141,13
Tesouro Direto Educa+ 2034, 1165,79, 932,63, 233,16, 11032,63
Poupança, 528,57, 528,57, 0,00, 10628,57
